x%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1707922921048121566,0,56.0,46.0,54.0,52.0
1707922921078344970,0,56.0,46.0,56.0,52.0
1707922921110934186,0,56.0,47.0,56.0,53.0
1707922921140948297,0,56.0,47.0,55.0,52.0
1707922921172045775,0,56.0,47.0,53.0,51.0
1707922921202990106,0,57.0,46.0,53.0,50.0
1707922921234166126,0,57.0,47.0,54.0,51.0
1707922921264938605,0,56.0,48.0,54.0,52.0
1707922921296360108,0,55.0,48.0,54.0,53.0
1707922921327058535,0,56.0,47.0,55.0,53.0
1707922921358052454,0,55.0,47.0,54.0,53.0
1707922921389000399,0,56.0,47.0,54.0,51.0
1707922921419841319,0,56.0,46.0,54.0,50.0
1707922921452073868,0,56.0,46.0,53.0,49.0
1707922921482871187,0,56.0,45.0,54.0,51.0
1707922921513471456,0,55.0,45.0,54.0,52.0
1707922921545266788,0,56.0,45.0,55.0,51.0
1707922921576060029,0,56.0,45.0,55.0,52.0
1707922921607146161,0,56.0,45.0,55.0,52.0
1707922921637660042,0,56.0,46.0,55.0,52.0
1707922921668792472,0,57.0,47.0,54.0,50.0
1707922921699964231,0,57.0,47.0,54.0,50.0
1707922921731372756,0,57.0,46.0,54.0,51.0
1707922921762372363,0,58.0,46.0,55.0,52.0
1707922921793490972,0,58.0,47.0,54.0,52.0
1707922921824704369,0,58.0,46.0,55.0,51.0
1707922921856151468,0,57.0,45.0,55.0,52.0
1707922921886606606,0,56.0,44.0,54.0,51.0
1707922921917004401,0,57.0,45.0,54.0,51.0
1707922921949304035,0,57.0,45.0,55.0,51.0
1707922921979543734,0,58.0,45.0,56.0,51.0
1707922922010143703,0,57.0,46.0,56.0,50.0
1707922922041868096,0,57.0,45.0,56.0,50.0
1707922922072436536,0,57.0,46.0,56.0,51.0
1707922922102785990,0,56.0,45.0,56.0,52.0
1707922922134575646,0,55.0,46.0,56.0,51.0
1707922922165716814,0,55.0,46.0,56.0,52.0
1707922922201171515,0,55.0,46.0,57.0,51.0
1707922922228104495,0,55.0,47.0,56.0,51.0
1707922922258793039,0,55.0,47.0,56.0,51.0
1707922922289992527,0,56.0,47.0,54.0,51.0
1707922922320894240,0,56.0,46.0,54.0,51.0
1707922922351600362,0,57.0,46.0,54.0,50.0
1707922922382165274,0,56.0,46.0,54.0,50.0
1707922922413933013,0,56.0,45.0,54.0,51.0
1707922922445885320,0,56.0,44.0,54.0,50.0
1707922922476402771,0,57.0,43.0,54.0,51.0
1707922922507279490,0,57.0,44.0,55.0,52.0
1707922922537947087,0,56.0,45.0,55.0,53.0
1707922922568244590,0,56.0,46.0,56.0,53.0
1707922922602487528,0,56.0,45.0,56.0,52.0
1707922922630986437,0,56.0,45.0,57.0,51.0
1707922922662087050,0,55.0,45.0,56.0,52.0
1707922922693438204,0,55.0,45.0,56.0,51.0
1707922922725092810,0,55.0,44.0,55.0,52.0
1707922922755515707,0,56.0,44.0,54.0,52.0
1707922922786275128,0,56.0,44.0,54.0,51.0
1707922922817456264,0,56.0,45.0,54.0,51.0
1707922922848311079,0,56.0,45.0,55.0,50.0
1707922922879383231,0,55.0,46.0,55.0,51.0
1707922922909894509,0,56.0,46.0,55.0,51.0
1707922922940986101,0,55.0,46.0,55.0,51.0
1707922922973521746,0,55.0,46.0,54.0,51.0
1707922923003576352,0,55.0,46.0,56.0,50.0
1707922923035610259,0,55.0,45.0,56.0,49.0
1707922923067153684,0,55.0,46.0,55.0,50.0
1707922923100550702,0,55.0,46.0,55.0,51.0
1707922923128304785,0,55.0,47.0,55.0,52.0
1707922923158436425,0,55.0,47.0,56.0,51.0
1707922923190411159,0,55.0,46.0,55.0,51.0
1707922923221314487,0,55.0,45.0,55.0,51.0
1707922923252572709,0,56.0,45.0,55.0,51.0
1707922923283376756,0,56.0,45.0,55.0,50.0
1707922923314306222,0,55.0,46.0,54.0,50.0
1707922923345018886,0,56.0,45.0,54.0,51.0
1707922923376366861,0,56.0,46.0,56.0,52.0
1707922923406604310,0,56.0,46.0,56.0,51.0
1707922923438594657,0,56.0,46.0,55.0,51.0
1707922923469217976,0,56.0,46.0,55.0,51.0
1707922923499932692,0,56.0,46.0,56.0,52.0
1707922923532738119,0,56.0,46.0,55.0,51.0
1707922923562732454,0,57.0,45.0,54.0,51.0
1707922923593994459,0,57.0,44.0,54.0,50.0
1707922923624554335,0,56.0,45.0,54.0,52.0
1707922923655038203,0,56.0,46.0,54.0,52.0
1707922923686787085,0,56.0,45.0,54.0,52.0
1707922923717464037,0,57.0,44.0,55.0,51.0
1707922923748171140,0,57.0,43.0,54.0,51.0
1707922923779480882,0,57.0,44.0,55.0,51.0
1707922923810568462,0,56.0,46.0,55.0,51.0
1707922923841412830,0,56.0,46.0,56.0,51.0
1707922923873456317,0,56.0,45.0,56.0,51.0
1707922923903272489,0,56.0,44.0,55.0,51.0
1707922923934109469,0,57.0,45.0,55.0,51.0
1707922923965295187,0,57.0,45.0,54.0,53.0
1707922923997141886,0,56.0,46.0,54.0,52.0
1707922924027476335,0,56.0,47.0,54.0,52.0
1707922924058914405,0,56.0,48.0,54.0,51.0
1707922924089854415,0,56.0,47.0,54.0,51.0
1707922924121404498,0,55.0,46.0,54.0,52.0
1707922924152839872,0,55.0,46.0,55.0,52.0
1707922924182453814,0,57.0,47.0,55.0,54.0
1707922924214409353,0,58.0,48.0,55.0,52.0
1707922924244773129,0,58.0,47.0,55.0,52.0
1707922924275740247,0,56.0,46.0,55.0,50.0
1707922924306743205,0,56.0,44.0,55.0,52.0
1707922924338241957,0,56.0,45.0,54.0,52.0
1707922924368943301,0,57.0,45.0,55.0,53.0
1707922924400165305,0,57.0,47.0,55.0,52.0
1707922924433053080,0,57.0,47.0,56.0,51.0
1707922924462748110,0,57.0,47.0,56.0,51.0
1707922924493744949,0,56.0,46.0,55.0,51.0
1707922924524209523,0,56.0,46.0,55.0,52.0
1707922924556087759,0,56.0,46.0,55.0,52.0
1707922924586324510,0,56.0,47.0,55.0,52.0
1707922924617734256,0,55.0,47.0,56.0,51.0
1707922924648281963,0,55.0,46.0,56.0,51.0
1707922924679313372,0,55.0,46.0,55.0,51.0
1707922924710469970,0,56.0,46.0,54.0,52.0
1707922924741635892,0,56.0,45.0,55.0,53.0
1707922924773581982,0,56.0,46.0,54.0,52.0
1707922924803857870,0,56.0,46.0,54.0,51.0
1707922924834372474,0,56.0,46.0,54.0,50.0
1707922924865758435,0,56.0,47.0,54.0,51.0
1707922924897470806,0,56.0,46.0,55.0,51.0
1707922924928334653,0,56.0,46.0,55.0,52.0
1707922924959627693,0,55.0,46.0,55.0,51.0
1707922924989755196,0,55.0,45.0,54.0,49.0
1707922925020217869,0,53.0,46.0,54.0,47.0
1707922925052934925,0,51.0,45.0,54.0,49.0
1707922925083699839,0,49.0,49.0,55.0,50.0
1707922925116972533,0,50.0,51.0,55.0,51.0
1707922925145753409,0,51.0,53.0,55.0,49.0
1707922925175408329,0,51.0,52.0,53.0,48.0
1707922925206870022,0,51.0,52.0,53.0,48.0
1707922925237826744,0,49.0,53.0,52.0,48.0
1707922925268335409,0,49.0,52.0,53.0,50.0
1707922925299864953,0,49.0,49.0,55.0,50.0
1707922925330911295,0,50.0,46.0,55.0,51.0
1707922925362247563,0,50.0,47.0,53.0,52.0
1707922925393530860,0,50.0,48.0,50.0,54.0
1707922925424293082,0,51.0,48.0,50.0,55.0
1707922925455377879,0,53.0,48.0,50.0,56.0
1707922925486079011,0,53.0,47.0,51.0,56.0
1707922925517356652,0,54.0,47.0,50.0,56.0
1707922925548860699,0,55.0,48.0,50.0,56.0
1707922925579823444,0,55.0,47.0,48.0,56.0
1707922925610435066,0,55.0,48.0,48.0,57.0
1707922925641833319,0,55.0,47.0,48.0,54.0
1707922925672667309,0,55.0,47.0,50.0,51.0
1707922925703835999,0,56.0,47.0,51.0,48.0
1707922925734763185,0,56.0,47.0,52.0,47.0
1707922925765536581,0,57.0,49.0,51.0,49.0
1707922925796574758,0,56.0,48.0,49.0,50.0
1707922925827051199,0,56.0,47.0,50.0,49.0
1707922925859687352,0,54.0,47.0,51.0,47.0
1707922925890475929,0,53.0,48.0,53.0,46.0
1707922925921164703,0,53.0,50.0,52.0,45.0
1707922925952716313,0,53.0,50.0,53.0,46.0
1707922925983882228,0,50.0,50.0,54.0,47.0
1707922926015233705,0,50.0,50.0,56.0,49.0
1707922926045357540,0,48.0,50.0,56.0,50.0
1707922926077835611,0,48.0,51.0,56.0,48.0
1707922926107448931,0,47.0,47.0,55.0,48.0
1707922926138697378,0,47.0,46.0,55.0,49.0
1707922926169255269,0,49.0,44.0,54.0,52.0
1707922926200446592,0,49.0,46.0,51.0,53.0
1707922926232291001,0,50.0,45.0,50.0,53.0
1707922926263453952,0,51.0,44.0,51.0,52.0
1707922926294127413,0,52.0,44.0,51.0,52.0
1707922926325677797,0,52.0,45.0,50.0,51.0
1707922926356237192,0,52.0,48.0,50.0,53.0
1707922926386265063,0,51.0,48.0,51.0,52.0
1707922926417599843,0,52.0,49.0,51.0,53.0
1707922926448822172,0,52.0,48.0,48.0,54.0
1707922926480250298,0,53.0,49.0,48.0,56.0
1707922926511625870,0,52.0,49.0,48.0,57.0
1707922926542856625,0,53.0,50.0,49.0,56.0
1707922926572898103,0,55.0,49.0,48.0,55.0
1707922926603890495,0,56.0,49.0,49.0,56.0
1707922926634748214,0,58.0,48.0,49.0,57.0
1707922926666055934,0,59.0,48.0,49.0,58.0
1707922926696856432,0,61.0,50.0,49.0,57.0
1707922926727826709,0,63.0,50.0,49.0,59.0
1707922926760279187,0,66.0,50.0,50.0,59.0
1707922926790459151,0,67.0,50.0,49.0,61.0
1707922926822681118,0,68.0,50.0,49.0,64.0
1707922926853322385,0,67.0,51.0,48.0,67.0
1707922926883580380,0,69.0,50.0,47.0,68.0
1707922926914777344,0,69.0,51.0,46.0,69.0
1707922926945481812,0,71.0,51.0,45.0,69.0
1707922926977535263,0,72.0,52.0,46.0,69.0
1707922927009132058,0,74.0,52.0,45.0,68.0
1707922927039841900,0,74.0,51.0,45.0,70.0
1707922927070143633,0,74.0,51.0,45.0,70.0
1707922927100267794,0,74.0,51.0,46.0,70.0
