%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1709573622694578298,0,26.0,29.0,28.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573622719913056,0,27.0,26.0,27.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573622743997894,0,27.0,27.0,27.0,26.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573622768801786,0,28.0,27.0,28.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573622793458296,0,26.0,34.0,28.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573622821377602,0,27.0,34.0,27.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573622846713083,0,25.0,27.0,26.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573622870829227,0,34.0,28.0,26.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573622895654490,0,35.0,28.0,27.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573622920172269,0,35.0,32.0,29.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573622948986993,0,24.0,34.0,26.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573622973600856,0,26.0,27.0,27.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573622997626889,0,26.0,26.0,29.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623022441718,0,23.0,27.0,28.0,26.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623047909624,0,26.0,26.0,25.0,23.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623072083356,0,26.0,25.0,27.0,26.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623099894286,0,28.0,25.0,36.0,26.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623124077398,0,26.0,26.0,36.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623148699343,0,27.0,28.0,37.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623173587633,0,33.0,26.0,26.0,26.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623198176444,0,34.0,26.0,26.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623222033095,0,34.0,27.0,34.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623250649176,0,34.0,27.0,35.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623276526457,0,36.0,29.0,26.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623300337036,0,25.0,26.0,27.0,26.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623324393256,0,25.0,24.0,31.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623349617723,0,26.0,26.0,34.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623377830528,0,25.0,27.0,28.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623402594180,0,25.0,34.0,27.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623427134106,0,26.0,34.0,26.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623451148920,0,27.0,27.0,24.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623476050055,0,26.0,27.0,27.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623501092348,0,27.0,25.0,27.0,26.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623528999694,0,26.0,34.0,28.0,23.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623553357582,0,34.0,35.0,26.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623578878240,0,36.0,27.0,26.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623603264994,0,26.0,27.0,28.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623626896634,0,28.0,28.0,26.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623652362123,0,26.0,26.0,26.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623680302281,0,26.0,32.0,26.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623705302090,0,25.0,26.0,28.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623730309579,0,26.0,26.0,27.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623754391845,0,32.0,27.0,27.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623779524623,0,27.0,24.0,27.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623806844487,0,26.0,25.0,26.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623832334252,0,26.0,27.0,30.0,26.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623856620855,0,27.0,27.0,29.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623880815112,0,24.0,28.0,26.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623905228328,0,35.0,27.0,27.0,28.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623929492721,0,34.0,25.0,36.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623958482132,0,28.0,26.0,35.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573623983215222,0,27.0,27.0,27.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624008274244,0,25.0,32.0,26.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624032397945,0,26.0,28.0,35.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624056160330,0,25.0,26.0,33.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624080333058,0,32.0,26.0,24.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624109341940,0,34.0,26.0,27.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624134385001,0,27.0,34.0,26.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624158911148,0,27.0,36.0,26.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624183526650,0,25.0,26.0,26.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624208708682,0,27.0,27.0,28.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624236054750,0,27.0,28.0,25.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624261152416,0,36.0,33.0,25.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624286099105,0,27.0,34.0,26.0,23.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624311091641,0,28.0,24.0,26.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624333964314,0,27.0,25.0,28.0,32.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624358627765,0,26.0,27.0,26.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624387225473,0,26.0,24.0,27.0,28.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624411845913,0,24.0,25.0,28.0,29.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624437330506,0,33.0,26.0,29.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624460890027,0,33.0,27.0,28.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624486508036,0,27.0,27.0,25.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624510625967,0,25.0,27.0,26.0,24.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624539009487,0,27.0,26.0,37.0,32.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624563798697,0,25.0,26.0,33.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624587776022,0,25.0,27.0,26.0,27.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624612773610,0,35.0,26.0,27.0,35.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624636426944,0,29.0,27.0,35.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624664540864,0,28.0,27.0,27.0,30.0,32.86180114746094,30.182594299316406,29.04050064086914,26.9739990234375
1709573624689565757,0,28.0,26.0,26.0,25.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624713539665,0,27.0,26.0,33.0,29.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624738560922,0,25.0,26.0,32.0,35.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624763072736,0,51.0,31.0,45.0,47.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624792061382,0,51.0,40.0,45.0,41.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624819949814,0,45.0,52.0,46.0,47.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624841072403,0,47.0,31.0,35.0,41.0,32.86180114746094,30.182594299316406,28.850299835205078,26.9739990234375
1709573624865730260,0,82.0,102.0,77.0,87.0,32.86180114746094,30.182594299316406,29.135597229003906,26.9739990234375
1709573624889597801,0,64.0,150.0,108.0,75.0,32.86180114746094,30.182594299316406,29.135597229003906,26.868000030517578
1709573624914607787,0,62.0,96.0,101.0,97.0,32.86180114746094,30.090396881103516,29.230697631835938,27.610000610351562
1709573624943013387,0,59.0,55.0,93.0,97.0,32.86180114746094,30.090396881103516,29.230697631835938,27.18600082397461
1709573624966932998,0,104.0,232.0,117.0,120.0,32.86180114746094,30.090396881103516,29.230697631835938,27.18600082397461
1709573624991643286,0,97.0,186.0,127.0,109.0,32.86180114746094,30.090396881103516,29.230697631835938,27.18600082397461
1709573625016600325,0,115.0,75.0,92.0,133.0,32.86180114746094,30.090396881103516,29.230697631835938,27.18600082397461
1709573625041718871,0,112.0,188.0,85.0,99.0,32.86180114746094,30.090396881103516,29.32579803466797,27.080001831054688
