%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1700177926678445446,0,35.0,34.0,39.0,33.0,1.0,1.0,1.0,2.0
1700177926703050260,0,33.0,33.0,35.0,35.0,1.0,1.0,1.0,2.0
1700177926731045103,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177926755441024,0,34.0,34.0,35.0,32.0,1.0,1.0,1.0,2.0
1700177926784938995,0,33.0,34.0,35.0,33.0,1.0,1.0,1.0,1.0
1700177926805004167,0,39.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177926831461209,0,33.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177926857501372,0,38.0,34.0,34.0,38.0,1.0,1.0,1.0,1.0
1700177926882023537,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177926906997627,0,34.0,33.0,34.0,32.0,1.0,1.0,1.0,2.0
1700177926931430806,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177926955938682,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177926984286486,0,34.0,32.0,37.0,37.0,1.0,1.0,1.0,1.0
1700177927008748813,0,38.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927033757963,0,34.0,31.0,34.0,32.0,1.0,1.0,1.0,2.0
1700177927064226701,0,34.0,34.0,35.0,33.0,1.0,1.0,1.0,1.0
1700177927086639640,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927112882039,0,34.0,34.0,35.0,38.0,1.0,1.0,1.0,1.0
1700177927137217915,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,1.0
1700177927159837592,0,34.0,34.0,35.0,33.0,1.0,1.0,1.0,1.0
1700177927185038895,0,34.0,33.0,34.0,33.0,1.0,1.0,1.0,1.0
1700177927209214901,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927238217099,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,1.0
1700177927266486659,0,34.0,33.0,35.0,32.0,1.0,1.0,1.0,1.0
1700177927286767242,0,34.0,32.0,35.0,33.0,1.0,1.0,1.0,1.0
1700177927311044295,0,33.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927335549798,0,40.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927364677224,0,33.0,34.0,35.0,33.0,1.0,1.0,1.0,1.0
1700177927389499314,0,36.0,34.0,34.0,36.0,1.0,1.0,1.0,2.0
1700177927413285923,0,34.0,34.0,34.0,32.0,1.0,1.0,1.0,2.0
1700177927439075829,0,34.0,33.0,34.0,33.0,2.0,1.0,1.0,2.0
1700177927463521145,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,1.0
1700177927491427435,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927515461254,0,38.0,35.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927546470300,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927564952574,0,35.0,34.0,34.0,32.0,1.0,1.0,1.0,2.0
1700177927589681151,0,34.0,34.0,35.0,32.0,1.0,1.0,1.0,1.0
1700177927618210097,0,34.0,34.0,36.0,33.0,1.0,1.0,1.0,2.0
1700177927643085496,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927667787265,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,1.0
1700177927691814873,0,33.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927716581623,0,40.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927744916223,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927769026271,0,37.0,33.0,34.0,33.0,2.0,1.0,1.0,2.0
1700177927793773309,0,34.0,33.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927818509667,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927842907440,0,34.0,34.0,35.0,33.0,1.0,1.0,1.0,1.0
1700177927872346779,0,33.0,32.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927896344467,0,33.0,34.0,33.0,33.0,2.0,1.0,1.0,1.0
1700177927920494085,0,37.0,34.0,35.0,33.0,1.0,1.0,1.0,2.0
1700177927945506259,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177927969477431,0,34.0,34.0,34.0,36.0,1.0,1.0,1.0,2.0
1700177927998148358,0,34.0,34.0,35.0,33.0,2.0,1.0,1.0,2.0
1700177928023667230,0,33.0,34.0,34.0,33.0,1.0,1.0,1.0,1.0
1700177928047647464,0,34.0,34.0,34.0,33.0,1.0,1.0,1.0,2.0
1700177928072682878,0,33.0,33.0,33.0,32.0,1.0,1.0,1.0,1.0
