%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1706616004141458577,0,54.0,53.0,48.0,46.0
1706616004172466311,0,54.0,53.0,48.0,46.0
1706616004203538184,0,55.0,53.0,47.0,48.0
1706616004234585399,0,54.0,54.0,46.0,47.0
1706616004266272102,0,54.0,53.0,47.0,47.0
1706616004296297905,0,53.0,53.0,48.0,46.0
1706616004327771114,0,53.0,50.0,50.0,46.0
1706616004358388454,0,55.0,52.0,48.0,45.0
1706616004388912178,0,55.0,52.0,48.0,45.0
1706616004419306955,0,55.0,53.0,47.0,45.0
1706616004450469819,0,54.0,53.0,48.0,45.0
1706616004481574306,0,54.0,53.0,48.0,45.0
1706616004512781773,0,54.0,53.0,48.0,45.0
1706616004543088530,0,54.0,52.0,48.0,45.0
1706616004573799111,0,53.0,52.0,48.0,45.0
1706616004605396867,0,54.0,53.0,48.0,45.0
1706616004637233127,0,53.0,54.0,49.0,45.0
1706616004666390821,0,53.0,54.0,49.0,45.0
1706616004698185608,0,53.0,53.0,49.0,46.0
1706616004728833145,0,54.0,52.0,47.0,45.0
1706616004760397640,0,54.0,52.0,48.0,45.0
1706616004790168861,0,54.0,52.0,48.0,45.0
1706616004820956072,0,55.0,52.0,48.0,46.0
1706616004851528616,0,55.0,52.0,47.0,46.0
1706616004882783145,0,54.0,51.0,48.0,47.0
1706616004912136979,0,54.0,50.0,48.0,47.0
1706616004942807108,0,55.0,51.0,47.0,45.0
1706616004975400061,0,55.0,52.0,46.0,45.0
1706616005006163880,0,54.0,53.0,46.0,44.0
1706616005039883167,0,53.0,54.0,47.0,46.0
1706616005067392777,0,53.0,55.0,47.0,46.0
1706616005098458174,0,54.0,54.0,48.0,46.0
1706616005128729580,0,55.0,54.0,47.0,46.0
1706616005159561602,0,55.0,53.0,48.0,45.0
1706616005193329897,0,54.0,54.0,47.0,45.0
1706616005222273620,0,54.0,53.0,48.0,46.0
1706616005252306649,0,54.0,54.0,47.0,46.0
1706616005283434452,0,53.0,54.0,48.0,44.0
1706616005314972152,0,52.0,54.0,48.0,44.0
1706616005345056365,0,52.0,53.0,48.0,44.0
1706616005376185087,0,54.0,52.0,47.0,45.0
1706616005408601348,0,55.0,52.0,46.0,45.0
1706616005437809325,0,55.0,51.0,47.0,45.0
1706616005469053721,0,54.0,52.0,46.0,46.0
1706616005499746575,0,54.0,51.0,46.0,46.0
1706616005529842209,0,54.0,52.0,47.0,46.0
1706616005563822805,0,54.0,51.0,48.0,45.0
1706616005591486052,0,54.0,53.0,49.0,46.0
1706616005621950139,0,54.0,52.0,48.0,46.0
1706616005653552034,0,54.0,52.0,48.0,46.0
1706616005684716733,0,54.0,51.0,47.0,46.0
1706616005714768045,0,55.0,53.0,47.0,45.0
1706616005746059020,0,55.0,53.0,47.0,45.0
1706616005777333071,0,55.0,53.0,47.0,46.0
1706616005807630605,0,55.0,52.0,48.0,48.0
1706616005838196961,0,55.0,53.0,47.0,47.0
1706616005869273230,0,54.0,53.0,48.0,48.0
1706616005900446804,0,54.0,54.0,48.0,46.0
1706616005931377078,0,54.0,52.0,48.0,48.0
1706616005962413424,0,54.0,51.0,46.0,47.0
1706616005991891088,0,54.0,51.0,46.0,47.0
1706616006023835386,0,53.0,53.0,46.0,45.0
1706616006053739843,0,53.0,52.0,47.0,46.0
1706616006086309753,0,54.0,52.0,48.0,44.0
1706616006115410701,0,55.0,52.0,48.0,45.0
1706616006145973191,0,54.0,53.0,47.0,43.0
1706616006178329040,0,54.0,53.0,47.0,44.0
1706616006209098983,0,53.0,51.0,48.0,45.0
1706616006238783395,0,53.0,52.0,49.0,45.0
1706616006270532526,0,54.0,52.0,49.0,46.0
1706616006301562332,0,54.0,53.0,48.0,45.0
1706616006332374599,0,54.0,52.0,47.0,45.0
1706616006362940447,0,54.0,53.0,48.0,45.0
1706616006393491371,0,55.0,53.0,48.0,45.0
1706616006424398309,0,55.0,54.0,47.0,46.0
1706616006456418233,0,55.0,54.0,46.0,46.0
1706616006486096351,0,55.0,52.0,45.0,47.0
1706616006516580924,0,54.0,52.0,46.0,46.0
1706616006548653845,0,53.0,51.0,47.0,47.0
1706616006578580657,0,52.0,52.0,47.0,47.0
1706616006608450105,0,52.0,52.0,47.0,46.0
1706616006639331784,0,55.0,53.0,46.0,46.0
1706616006671330020,0,56.0,53.0,46.0,45.0
1706616006702727406,0,56.0,52.0,45.0,46.0
1706616006732439287,0,55.0,53.0,46.0,46.0
1706616006763277536,0,53.0,52.0,46.0,47.0
1706616006794880189,0,52.0,52.0,47.0,48.0
1706616006825646594,0,52.0,51.0,47.0,48.0
1706616006856846370,0,52.0,51.0,47.0,48.0
1706616006887945602,0,52.0,53.0,47.0,47.0
1706616006918237867,0,52.0,53.0,46.0,46.0
1706616006948757909,0,52.0,53.0,46.0,47.0
1706616006978513767,0,53.0,53.0,47.0,47.0
1706616007010316535,0,53.0,52.0,48.0,48.0
1706616007041101395,0,52.0,52.0,48.0,48.0
1706616007071536074,0,53.0,52.0,48.0,48.0
1706616007102619898,0,52.0,52.0,46.0,46.0
1706616007134719586,0,53.0,52.0,48.0,45.0
1706616007164330387,0,54.0,52.0,50.0,43.0
1706616007196306483,0,54.0,52.0,54.0,45.0
1706616007225596529,0,51.0,53.0,56.0,44.0
1706616007257450818,0,49.0,52.0,57.0,46.0
1706616007288839112,0,47.0,52.0,59.0,46.0
1706616007318620262,0,49.0,51.0,61.0,48.0
1706616007349547364,0,48.0,52.0,62.0,48.0
1706616007379790763,0,50.0,52.0,62.0,49.0
1706616007411505102,0,48.0,53.0,62.0,50.0
1706616007441417233,0,48.0,52.0,61.0,49.0
1706616007473266995,0,48.0,53.0,61.0,48.0
1706616007504533275,0,49.0,53.0,61.0,44.0
1706616007534391179,0,49.0,52.0,60.0,45.0
1706616007567147551,0,49.0,50.0,60.0,46.0
1706616007596182941,0,49.0,48.0,61.0,48.0
1706616007628162672,0,50.0,49.0,63.0,48.0
1706616007658074201,0,49.0,49.0,62.0,49.0
1706616007688502951,0,49.0,50.0,62.0,47.0
1706616007721236617,0,49.0,49.0,61.0,47.0
1706616007751323031,0,50.0,50.0,60.0,48.0
1706616007781530762,0,50.0,51.0,61.0,49.0
1706616007813092185,0,49.0,52.0,60.0,48.0
1706616007843120229,0,48.0,53.0,61.0,48.0
1706616007874301910,0,48.0,51.0,61.0,46.0
1706616007905849607,0,49.0,52.0,62.0,46.0
1706616007935992530,0,49.0,51.0,62.0,43.0
1706616007967344988,0,50.0,52.0,61.0,42.0
1706616007997401374,0,51.0,50.0,60.0,42.0
1706616008031224817,0,52.0,49.0,60.0,44.0
1706616008059335137,0,52.0,50.0,62.0,48.0
1706616008089246960,0,51.0,51.0,62.0,49.0
1706616008120482504,0,51.0,51.0,62.0,48.0
1706616008151967375,0,50.0,50.0,60.0,45.0
1706616008182580535,0,50.0,50.0,59.0,46.0
1706616008213275479,0,50.0,51.0,59.0,48.0
1706616008244041501,0,50.0,51.0,55.0,51.0
1706616008274375357,0,48.0,51.0,54.0,50.0
1706616008306653091,0,48.0,51.0,52.0,51.0
1706616008338930179,0,48.0,52.0,54.0,51.0
1706616008366889364,0,50.0,54.0,54.0,55.0
1706616008399583160,0,50.0,54.0,54.0,56.0
1706616008429786587,0,50.0,56.0,54.0,56.0
1706616008460175134,0,51.0,56.0,54.0,53.0
1706616008491963386,0,54.0,56.0,54.0,53.0
1706616008521887100,0,55.0,54.0,54.0,53.0
1706616008552114292,0,56.0,53.0,54.0,54.0
1706616008583846328,0,56.0,52.0,54.0,56.0
1706616008614245324,0,57.0,53.0,55.0,58.0
1706616008645732145,0,58.0,52.0,54.0,59.0
1706616008676132471,0,61.0,54.0,55.0,58.0
1706616008707112886,0,63.0,54.0,54.0,60.0
1706616008737826556,0,63.0,55.0,54.0,60.0
1706616008768202402,0,64.0,55.0,54.0,62.0
1706616008799328858,0,64.0,54.0,54.0,62.0
1706616008830493861,0,66.0,54.0,55.0,66.0
1706616008860577106,0,67.0,53.0,54.0,67.0
1706616008891620374,0,68.0,52.0,53.0,67.0
1706616008922242425,0,69.0,51.0,53.0,66.0
1706616008953807126,0,71.0,52.0,55.0,68.0
1706616008985151373,0,72.0,55.0,55.0,70.0
1706616009016036983,0,74.0,55.0,55.0,72.0
1706616009045896455,0,73.0,54.0,54.0,73.0
1706616009077980057,0,75.0,52.0,54.0,74.0
1706616009108769243,0,78.0,53.0,55.0,74.0
1706616009139050474,0,81.0,52.0,55.0,74.0
1706616009172824975,0,82.0,50.0,55.0,74.0
1706616009200334903,0,81.0,50.0,54.0,73.0
1706616009231795877,0,80.0,53.0,54.0,73.0
1706616009262654181,0,81.0,55.0,55.0,74.0
1706616009293046080,0,80.0,57.0,54.0,74.0
1706616009324331978,0,79.0,56.0,55.0,76.0
1706616009354314871,0,79.0,54.0,56.0,75.0
1706616009385227789,0,78.0,54.0,57.0,71.0
1706616009417154874,0,77.0,53.0,56.0,67.0
1706616009447067091,0,75.0,55.0,56.0,66.0
1706616009478117008,0,72.0,55.0,56.0,66.0
1706616009509134567,0,72.0,54.0,56.0,65.0
1706616009539508182,0,73.0,54.0,57.0,63.0
1706616009571644148,0,74.0,54.0,57.0,62.0
1706616009602217147,0,73.0,54.0,57.0,59.0
1706616009632396051,0,73.0,53.0,57.0,58.0
