%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1705447344181510203,0,82.0,91.0,85.0,84.0
1705447344212106107,0,80.0,91.0,85.0,85.0
1705447344244110617,0,82.0,91.0,85.0,86.0
1705447344275260862,0,82.0,91.0,85.0,86.0
1705447344306381476,0,83.0,91.0,85.0,85.0
1705447344338159816,0,82.0,92.0,85.0,85.0
1705447344369311506,0,83.0,92.0,84.0,85.0
1705447344400639823,0,82.0,92.0,85.0,87.0
1705447344431108489,0,81.0,91.0,85.0,86.0
1705447344464578537,0,81.0,92.0,86.0,86.0
1705447344494070598,0,81.0,90.0,85.0,85.0
1705447344525396006,0,82.0,90.0,86.0,85.0
1705447344556606818,0,82.0,90.0,85.0,85.0
1705447344590372923,0,83.0,91.0,84.0,85.0
1705447344620348355,0,83.0,92.0,84.0,85.0
1705447344653045145,0,82.0,91.0,85.0,85.0
1705447344681550576,0,81.0,91.0,85.0,85.0
1705447344713235381,0,82.0,89.0,84.0,86.0
1705447344751090295,0,82.0,89.0,85.0,86.0
1705447344781768462,0,82.0,90.0,85.0,86.0
1705447344807231221,0,81.0,90.0,86.0,85.0
1705447344839208509,0,82.0,90.0,85.0,84.0
1705447344869714976,0,82.0,90.0,85.0,86.0
1705447344901156591,0,82.0,90.0,84.0,87.0
1705447344931915734,0,82.0,90.0,84.0,88.0
1705447344963454254,0,81.0,90.0,86.0,86.0
1705447345000812883,0,81.0,91.0,86.0,86.0
1705447345033790069,0,81.0,92.0,86.0,85.0
1705447345058909776,0,82.0,92.0,85.0,84.0
1705447345089839747,0,82.0,91.0,85.0,85.0
1705447345120812435,0,82.0,90.0,86.0,86.0
1705447345151725020,0,82.0,90.0,85.0,86.0
1705447345182650061,0,82.0,91.0,86.0,85.0
1705447345214291259,0,82.0,91.0,85.0,85.0
1705447345244976369,0,83.0,91.0,85.0,85.0
1705447345276746792,0,82.0,90.0,84.0,85.0
1705447345308369329,0,82.0,91.0,84.0,84.0
1705447345341584382,0,82.0,91.0,85.0,85.0
1705447345370545304,0,82.0,91.0,85.0,85.0
1705447345401917513,0,82.0,91.0,86.0,86.0
1705447345435533972,0,82.0,90.0,85.0,87.0
1705447345468170036,0,81.0,91.0,85.0,87.0
1705447345496609745,0,81.0,91.0,84.0,86.0
